"Source","Destination","Alt Text"
"https://programs.tcnj.edu/physics","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/01/physics-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/international-studies","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2024/04/international-studies-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/biology","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/01/biology-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/integrative-stem-education","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/01/integrative-STEM-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/data-science","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/02/data-science-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/speech-pathology-audiology","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/02/speech-language-pathology-audiology-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/spanish","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/01/spanish-RIGHT-TABLET.jpg",""
"https://programs.tcnj.edu/wgss","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/01/womens-gender-sexuality-studies-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/japanese","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/03/japanese-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/cybersecurity","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/02/cyber-security-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/interactive-multimedia","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/02/interactive-multimedia-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/finance","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/02/finance-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/environmental-studies","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/01/environmental-studies-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/biomedical-engineering","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/02/biomedical-engineering-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/chemistry","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/02/chemistry-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/materials-science","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/02/material-science-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/english","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/01/english-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/political-science","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/01/political-science-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/world-languages-linguistics","https://ceva6.tcnj.edu/wp-content/uploads/sites/9/2025/01/world-languages-linguistics-RIGHT-DESKTOP.jpg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/info-icon.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/info-icon.svg",""
"https://programs.tcnj.edu/","https://programs.tcnj.edu/close-item.svg",""
